Key	aroC	dnaN	hemD	hisD	purE	sucA	thrA	ST	Subsp
JEO1686	24	22	27	22	18	24	24	53	salamae
JEO1845	25	23	27	23	19	24	25	54	salamae
CCUG30039	54	50	27	53	46	47	49	103	salamae
CCUG30038	55	51	52	54	47	48	50	104	indica
JEO1863	33	26	30	26	21	32	28	63	diarizonae
JEO823	29	27	30	26	21	28	28	58	diarizonae
CCUG30040	33	26	30	55	21	49	28	105	diarizonae
JEO307	28	26	30	25	21	27	28	57	diarizonae
CCUG30041	57	52	31	57	22	29	30	107	houtenae
JEO817	30	28	31	27	22	29	29	59	houtenae
JEO1672	31	28	32	28	23	29	30	60	houtenae
00105K	20	4	23	14	16	19	18	42	enterica
0019095	14	13	18	12	14	18	1	26	enterica
00293K	16	16	26	18	8	12	18	51	enterica
0022569	5	2	3	7	6	6	11	11	enterica
00330K	5	2	3	6	5	5	10	10	enterica
0027420	17	18	12	17	5	21	19	41	enterica
0043303	9	9	6	7	9	12	2	44	enterica
JEO1690	26	24	28	24	20	25	26	55	arizonae
JEO1691	27	25	29	24	20	26	27	56	arizonae
CCUG6322	56	25	29	56	48	50	51	106	arizonae
CCUG30042	58	29	53	29	24	30	52	108	bongori
JEO1946	32	29	33	29	24	30	31	61	bongori
JEO4162	32	30	34	30	24	31	32	62	bongori
